66049	
	-9.014376277e-12	-1.254728961e-13	-4.979942491e-12	-1.300345331e-12	-1.231959633e-11
	-5.022077795e-12	-1.80344899e-12	-1.33672768e-12	-9.155535142e-12	-2.260449225e-12
	-1.151514435e-11	-1.387294178e-12	-1.302964622e-12	-7.626244258e-12	-6.455805722e-12
	-2.063130125e-12	-7.96238204e-12	-1.132772702e-11	-9.42302196e-12	-5.93051142e-12
	-1.196702386e-11	-1.316942182e-12	-7.981372576e-12	-1.064940538e-11	-1.172950325e-12
	-1.75700989e-12	-2.230497154e-12	-9.795674601e-12	-5.944060612e-12	-1.120555496e-11
	-1.159096526e-12	-7.146356421e-12	-8.873180692e-12	-8.678760064e-12	-9.289548569e-12
	-1.084988338e-11	-8.834820561e-12	-1.185370462e-11	-7.825260226e-12	-1.162481272e-11
	-6.090228508e-12	-8.483890833e-12	-8.514660573e-12	-1.31521361e-12	-3.655221214e-12
	-3.029575427e-12	-5.772421095e-12	-4.576065194e-12	-3.03540574e-12	-1.08509859e-11
	-1.220162257e-11	-2.326861898e-12	-1.063578405e-11	-6.764005965e-12	-7.480578186e-12
	-9.179655079e-12	-1.771530372e-12	-4.905049999e-12	-3.584331337e-13	-1.097217984e-12
	-3.352893928e-13	-1.177121929e-11	-8.414050219e-12	-2.358359861e-12	-9.905302511e-12
	-6.224752368e-12	-2.473815548e-12	-3.75916648e-12	-3.767357252e-12	-7.105458542e-12
	-3.480969684e-12	-7.091191064e-13	-7.091584418e-12	-3.852016784e-12	-8.335491734e-12
	-6.953628608e-12	-1.016654593e-11	-1.218181862e-11	-1.047907101e-11	-7.008685068e-12
	-1.133791361e-12	-1.020490567e-11	-5.083957335e-12	-7.33957562e-12	-9.830777769e-12
	-9.090787485e-13	-4.918216314e-12	-6.890912168e-12	-6.078209019e-13	-6.786310938e-12
	-2.644120926e-12	-8.583706123e-12	-4.276028495e-12	-8.900720272e-12	-1.176671167e-11
	-8.118155463e-12	-9.498362513e-12	-7.369823151e-12	-4.389396474e-13	-1.033889569e-12
	-9.376817415e-12	-2.268247464e-12	-1.868580786e-12	-5.319684884e-12	-2.227750399e-12
	-2.56102757e-13	-1.653889584e-12	-5.089345696e-12	-5.180546514e-12	-3.533470617e-12
	-7.586652156e-12	-6.592092875e-12	-3.341836034e-12	-1.005994032e-11	-9.178492477e-12
	-9.49671992e-12	-2.04419247e-12	-9.344977917e-12	-1.152540804e-11	-1.109562451e-11
	-1.114971418e-11	-9.324882059e-12	-3.078613631e-12	-2.000607488e-12	-7.768422329e-12
	-1.487525029e-12	-4.108471365e-12	-5.182009039e-12	-8.51207448e-12	-1.798037916e-12
	-2.73601575e-12	-4.953262574e-12	-9.039973357e-12	-5.264360414e-12	-7.991459352e-12
	-1.016421161e-11	-6.644179721e-12	-1.404929914e-12	-6.941852726e-12	-6.588425745e-12
	-8.50659632e-12	-2.230601711e-12	-8.13234491e-12	-5.132288287e-12	-8.328840627e-12
	-9.668357034e-12	-8.974332347e-12	-7.287981172e-12	-1.170355649e-11	-8.156895549e-12
	-4.89322613e-12	-2.055139932e-12	-5.415881983e-12	-9.813691001e-12	-1.140019267e-11
	-2.687775358e-12	-1.141796006e-11	-4.268171305e-12	-1.006452333e-11	-2.678839227e-12
	-3.41617419e-12	-1.145099742e-11	-6.022073505e-12	-4.021966205e-12	-7.683064462e-12
	-1.338506391e-12	-9.136365783e-12	-8.043433564e-12	-6.538119219e-12	-7.58093021e-12
	-2.048223328e-13	-1.14432464e-11	-4.569959343e-12	-6.0624853e-12	-3.910864248e-12
	-4.180730406e-12	-1.231217302e-11	-9.272188342e-12	-1.118419049e-11	-9.421357412e-12
